image,surface,text_type,text
paper-11,paper,printed,ПОРТЛАНД СЕМЕНТ
paper-12,paper,printed,"HEIDELBERGCEMENT
лучшее для строительства
Extra Cem
500
ЦЕМЕНТ
Головной офис
г. Алматы, пр. Жибек Жолы, 76
тел.: (727) 258 44 55
e-mail: sales@heidelbergcement.kz
Региональные представительства:
Шымкент: (7252) 48 00 39
Астана: (7172) 58 44 55
Актау:
(7292) 58 44 55
Атырау,
(7122) 58 44 55
Оскемен: (7232) 58 44 55
Изготовитель:
АО ""Шымкентцемент""
РК, г. Шымкент, ул. Койкелды батыра, 22
экологически чистый продукт
МАССА НЕТТО
$0,5
50 кг
Портландцемент
ПЦ 500-ДО-Н
ГОСТ 10178-85
МЕЛКОШТА
БЕТОНИ
ИЗДЕЛ
(ТРОТУАРНАЯ
МОНОПИТНОЕ
РОЙТЕЛЬСТВО
СБОРНЫЕ
www.cem.kz
цемент, бетон, щебень"
wood-16,wood,printed,ООО ДОК КАЛЕВАЛА OCП 3 E1 2500x1250x12 ТУ 5534-601-79787960-2017 25.09.2013 06:15
wood-17,wood,printed,ФК I/II 25-4 ФК I/II 25-4
wood-15,wood,printed,1269 Те
wood-14,wood,printed,ООО ДОК КАЛЕВАЛА OCП 3 E1 2500x1250x12 КАЛЕВАЛА-ГОСТ ТУ 5534-601-79787960-2015 11.12.2016 06:07
wood-10,wood,printed,1276 2-2614- KRONDPOL KRONDPLY EN 13%86-05B23-EN 300 EI-W
wood-11,wood,printed,"Norbord
La Sarre
Québec. Canada
www.norbord.com
1 E0
A C106"
wood-13,wood,printed,"apn
EUROSTE
AArS
EUR ISTRANDO OSB
ITO
23905.
81 11380. 000 5005 1 2
¥061129000208/3
11-17 EN
13939 3009 NORVO PA
Isola c2003 056/57
10-33,01 17906 ZAH S58/3
의 스305, 로마서
EGGER
www.egger.com
92а
39839835453
24,398394,983 8833
321303391903
021308381983
9833
031
03301903
Bras
Buen
P21702352903 5933
021.388301993 B833
Zwag
92130830155433
Ra3з
0139836082038
021398301923 0033
921398301993 0631
213083919238033
a03 01963 5833
Stim
e21388302903
19055
924-30137943 8938
21K 921362301982 89 3
0213053013132 6а33
PAr 421 380 394902
821342304583 0623
821.300391997
1398381932
Posa
9355
30839130
2"
wood-12,wood,printed,ОО ДОК КАЛЕВАЛА OCП 3 E1 2500x1250x12 ТУ 5534-001
wood-9,wood,printed,"3 E1 FF
12.09.18 227 Made in Germany
GLUNZ
PRO MIMA
CONTRA CO.."
wood-8,wood,printed,CP CP CP CP BB BB
wood-3,wood,printed,50 25
wood-2,wood,printed,"Kronobuild
Kronobuild®
Kronobuild
0094727540"
wood-1,wood,printed,"OSB3
Iipono spam"
wood-5,wood,printed,ФСФ III/II ФСФ III/II
wood-4,wood,printed,NERUM: 001-3 E1 240981298X9 1% 1539-881-79782969-2913 26.62.20
wood-6,wood,printed,"ПДСтП формат 2750х1830 мь
Яблоня покарнс
ЛДСтП формат 2750х1830 мы
Бук Бавария Светлый 265
ЛДСтП формат 2750х1830 мм
Бук Бавария Темный 255
ЛДСтП формат 2750х1830 мм
Дуб Седан
тел. +7(495) 973-76-71
ЛДСтП формат 2750Х1830 мм
орех Антикварный
DRoroup
Ten 17 495 973
ЛДСтП формат 2750х1830 мм
Опьча Граево
DProup
тел. +7(495 973-76-71
ЛДСтП формат 2750х1830 мм
Вишня Оксфорд
714951 073 78674
ЛДСтП формат 2750х1830 мм
Бежевый (ЧФМК)
ел.: +7(495) 973-76-71
ЛДСтП формат 2750×1830 мм махагон
тел. +7(495) 973-76.71
ЛДСтП формат 2750х1830 мм
Ясень Шимо Темный
PD•roup
тел +7(495) 973-76-71
ПОСтП фоомат 2750х1830 мм
Дуб Арденский (Ясный)
www.aGaroubDro
тел. +7(495) 973-78-71
ЛДСтП формат 2750×1830 мм
Бепцй
теп +7(495) 973-76-71
ЛДСтП формат 2750×1830 мг дуо Бенге (линум'
P.Psrou
TO 495 9772-78.71
ЛДСтП формат 27501830 ми
Iv Выбеленный Понент
DDaroup
тел +7(495) 973-76-71
ЛДСтП формат 2750×1830 мм
Клен Танзаі
DParoup
ddgroupo ru
ТоП +714961979278-74
ПДСтП формат 2750х1830 мм
CeOML
TAn
ЛДСтП формат 2750х 1830 мм
Титан
ЛДСтП формат 2750×1830
Дуб Атланта
www.ddgroupp ru
Тел. +7(495) 973.76.71
ЛДСтП формат 2750×1830 мм
Io Паллада
FAn 347(05
073:76471
ЛДСтП формат 2750×1830 мм"
wood-7,wood,printed,"ФК 2/2
Сортировка №2"
wood-22,wood,pressed,A B C
wood-20,wood,pressed,RAY
wood-21,wood,pressed,L A Е N H U O Z G J S C Q W S E F X I V U T В D P K R Y M C
wood-19,wood,pressed,D Е H O F K F U В Q V M Q C B F H D D F B P W C
wood-18,wood,printed,ФК II/IV 11 ФК II/IV 11
metal-1,metal,squeezedout,NEUMANN (OO SOLINGE
metal-2,metal,pressed,5109402 3237 MAN
metal-3,metal,printed,"3076
20
-DOTY TAIS
NEER SIN
018 X5213X0 4056
15520 08160"
metal-7,metal,pressed,1.50 1.25 1.00 0.75 0.50
metal-6,metal,printed,"IN SOT WEAS
2015"
metal-4,metal,squeezedout,iTERM
metal-5,metal,pressed,2A12 T4 F5 2A12 T4 F5
metal-19,metal,pressed,LODGE
metal-18,metal,pressed,"EALES 1779
SILVER PLATE
ITALY"
metal-20,metal,squeezedout,281 84612000
metal-13,metal,printed,"Int/5
nerg
BT1-0
ф190
АТП
п.713"
metal-12,metal,squeezedout,"NICOLO
LACANINI
19. Воронцов • ТеЗ 1985,
178%
11840"
metal-10,metal,pressed,1.50 1.25 1.00 0.75 0.50
metal-11,metal,printed,TAKOTTA MADE IN FINLAND BY STAHINIS HOLDING OY
metal-15,metal,pressed,"JOLU
29897)
19LD
K58
1107
K 5862"
metal-14,metal,printed,"02-43
005NOEI
022 L
T 170
C4-20
136x 50d
C4-20
MSOXSO
+275
or-h
aosxo€l
10к520
c4-20
100964
T195
7240
29-20
1207300
1208300
C4-20
T210
35500c
NO
006x021
0071
00T 1
tbhoat
0t-m
OShxosI"
metal-16,metal,printed,"ГОСТ 20295-05
09Г2С К-419
2-No 200.1015
030-10 12000"
metal-17,metal,printed,"AA Marching Band 14736 cm
SABIAN
SABIAN"
metal-8,metal,pressed,"RONESE
120"
metal-9,metal,printed,"Q2 (021
1B1
28 5582 C-No
5
4965-001
200'"
silver-11,silver,squeezedout,ITS NOT SILVER!!!!
silver-10,silver,pressed,"白织
白绿, Ag38A8
Aggggg"
silver-12,silver,pressed,1 OZT
silver-13,silver,squeezedout,НТГ 84
silver-17,silver,squeezedout,"Scottsdale
989
FIME SILVER
100 GRAMS"
silver-8,silver,squeezedout,"47
AS
Silver
107.8582"
silver-14,silver,printed,"S925
054"
silver-15,silver,squeezedout,3G 875
silver-9,silver,squeezedout,I troy OZ
silver-4,silver,squeezedout,BOLLE
silver-5,silver,pressed,"CAPSUL
愛rR®
THRS ROSS
GAS-ELECTRIC- VITRO MALOGEN
③
STANLESS STEELIERO
CAPSULE BOTTOM"
silver-7,silver,pressed,"RONESE
120"
silver-6,silver,squeezedout,"Scotisdale Silver
999 Phe Stiver
One Thoy Ounce
IN GOD WE TRUST"
silver-2,silver,squeezedout,"ONE
TROY OUNCE
.999
FINE SILVER"
silver-3,silver,squeezedout,"LEGO LEGO LEGO LEGO
LEGO LEGO LEGO LEGO
LEGO LEGO LEGO LEGO
LEGO LEGO LEGO LEGO"
silver-1,silver,pressed,"SILVER
999
KIA"
tyre-2,tyre,squeezedout,205/50R17
tyre-3,tyre,squeezedout,"TREADINEAR
360
TRACTION D
205/55 R
TEMPERATURE A
91 V
30 20555 3 15°91 V ° SPES
Tubele"
tyre-1,tyre,squeezedout,En) 02104LS2MR2 024458
tyre-4,tyre,squeezedout,2 1/4 19
tyre-5,tyre,squeezedout,SCHWALBE PLUS
tyre-6,tyre,squeezedout,"RE
LEPTOR
1700×400 / 35-60 PSI
120 TPI
EXO
EROTECTION
TUBELESS READY"
tyre-7,tyre,squeezedout,"Panaracer Grin
NOT INT"
tyre-8,tyre,squeezedout,Win-tyri
tyre-9,tyre,squeezedout,"NAGESTI
MADE
° FRANCE
TUBELESS
HUTCHINSON"
tyre-10,tyre,squeezedout,"MARSHA
52060 ZR17 sah
www.fcumc lodire.
MADE IN KORE
202
MU12"
tyre-11,tyre,squeezedout,"MAXIMUM
RECOMMENDED"
tyre-12,tyre,squeezedout,"(47∞305)
K912-002"
tyre-13,tyre,squeezedout,SCHWALBE 0.0.30 caL 321
tyre-14,tyre,squeezedout,"SCHWALBE
BIG APPLE 005"
tyre-15,tyre,squeezedout,SCHWALBE
tyre-16,tyre,squeezedout,SCHWALBE GT 365
tyre-17,tyre,squeezedout,"PIRELLO
CARBOI
Cinturato- vo"
glass-4,glass,printed,"/
(Ey
(KIA КАС
DOT7A8 ASI M52
43R - 000380
E000008
TRANSP.> 75 %"
glass-5,glass,printed,"SAINT- GOBAIN SEKURIT
00727 M452 AS1
E1) 43R - 001051
E000185
1...."
glass-2,glass,squeezedout,ОСЗ
glass-3,glass,squeezedout,ц14К
glass-1,glass,squeezedout,05
glass-6,glass,squeezedout,"SA U
DOT 18 PPG M505 • 7
AS2
) 43R-000263"
glass-7,glass,squeezedout,"V
Eg
SAINT-GOBAIN
SEKURIT
43R-004553
DO1615MMOVGAS3
E 000214"
glass-8,glass,squeezedout,"SEIURRIT
SAINT GOBAIN:
43R-001100
DOT 249 M24 AS2
5 •"
glass-9,glass,squeezedout,AutoR
glass-10,glass,squeezedout,"AGC, AUTOMOTIVE
V(E 6)
43R-0095452
DOT-376 M2L5 ASS^
A006451 30E
TEMPERLITE
ESG 18 WD P 49
7"
glass-11,glass,squeezedout,J8
glass-12,glass,squeezedout,"GUARDIAN
SUNGuARDHP
GUARDIAN.
( CLIMAGUARD'Sai
JARDIAN
INGUARD HP Light Bronze 41/29
GUARDIAN
7 SUNGLARO'HP Royal Blue 3831"
glass-13,glass,squeezedout,"#P9A2 SCON-NE
0203?
201-1052 SAS"
glass-14,glass,squeezedout,"-
3512
ПЛі."
gold-1,gold,pressed,"0990
7301483400.200 23
(999962
1130/4182 ad01р0 4
OPIN
ОРМ
3399 6
07331
999963
1307886
807836 m
999900
(130/887 м"
gold-3,gold,pressed,"006520
99,99
C006518
POGONS
ЗЛА-"
gold-2,gold,squeezedout,"LEGO LEGO LEGO LEGO
LEGO LEGO LEGO LEGO
LEGO LEGO LEGO LEGO
LEGO LEGO LEGO LEGO"
gold-6,gold,pressed,"2013
ДОРМ
00
ФРМИ
OP
9944
9998
130 /88 4 49git00 me. 2013
9999
METALE
JACKSON
OPM
130788
400.155 cz1
9999
607889
L00.110"
gold-7,gold,pressed,"REFINERY
RAND
3960
FINE GOLD
10009"
gold-5,gold,pressed,"U7/П
ФРУи
D O35
OPM
9944
9990
OPINA
130 /88 / 490 100 me. 2013
9999
METALS
JACKSON
OPM
1307888
400.155 cZ1
9999
^^708
1 100.110 с1*"
gold-4,gold,pressed,"^
99 .99
ЗЛА-1
АНГ 3199
(РосСИЯ
99,99
12212,4
2000
H3197
POCCIE
92,99
2000
11706,8"
brick-1,brick,pressed,БИРСАНОВЕ
brick-2,brick,pressed,BABOLLA
brick-3,brick,pressed,"6.8
АМФУКСЕ"
brick-4,brick,pressed,Supreme
brick-5,brick,pressed,"55.1/35
П.С
GA вРи"
brick-6,brick,pressed,"0049
ами
9 V.
(0984400)
UU
Livmar
annusdag]
Я VI
Tauggua
Athvr
00920
ISt
9000)
IDIaDA
RIXY
9098)
00gg
Riugia
ITi391
IOSISA"
brick-7,brick,pressed,НЕBA
brick-8,brick,pressed,ТАРАСОВА
brick-9,brick,pressed,"TAPACORI
TEMPLOS
одко
GERICO
ХАРЧЕВЫ
Mine I8b
POSPA APORE
BR3
ЮРЬЕВо
13 Os"
brick-10,brick,pressed,"10700)
VIER
Loras
CHAS
BBUT
ТАКо
HB83
SEMe
COPIOS
(889681"
brick-11,brick,pressed,"КАБЕЛЬ
DIANOVINFO VER.8.001 230111"
brick-12,brick,pressed,ChavSao
brick-13,brick,pressed,ХАРЧЕВЪ
brick-14,brick,pressed,† AUSAY
brick-15,brick,pressed,sanava
brick-16,brick,pressed,КОНОНОВЪ
brick-17,brick,pressed,ИПМ ИАЛ
brick-18,brick,pressed,НАШ ПЕЛЛО
brick-19,brick,pressed,"A6.3
B.398"
brick-20,brick,pressed,ШиЛ МИ
brick-21,brick,pressed,"SCHIETERO
KAB"
brick-22,brick,pressed,"MONBO
-COSOTER"
brick-23,brick,pressed,ДД МК
brick-24,brick,pressed,"1831
ГЕЛЁНДЖИК"
brick-25,brick,pressed,ТОСНА
brick-26,brick,pressed,"3311
co
AE"
brick-27,brick,pressed,mirnaudosg
brick-28,brick,pressed,"SSURUROM
ChRI
TREBUSS LI"
plastic-8,plastic,printed,"79-24
B-119-24
B-119-24
NYM J 3x2.5 L=120м
3V5 Щит 012 X02
B119-14П-AOB1"
plastic-9,plastic,printed,"3. CS"" UPVC PIPE SIRIM DASI CERTIFIED VSTE2: 15852 80 TI QS655 8
CET UPVC PIPE STRIM OASI CERTIFIED VSS2B:PT 2:1999 AN 12 50 mIl Size 182A 15) MS Br SE P
%. CS"" UPVC PIPE SIRIM DASI CERTIFIED V5588 PT, 1 1989 AN
P. CS™ UPVC PIPE SIRIM OASI CERTIFIED M5628PTI 1989 PN12 32 m"
plastic-1,plastic,printed,"НИЖНЕКАМСК
НЕФТЕХИМ
ПОЛИСТИРОЛ
TV 2214-126-35/66801-2003
ИЗГОТАВЛИВАЕТСЯ
По ЛИЦЕНЗИИ
""ФИНА ТЕКНОЛОДЖИ ИНК""
МАССА НЕТТО: 25-0,25 кг
Изготовлено в России"
plastic-14,plastic,printed,"FLONGUARD GOLDIM TYPEII
ACC
S4-20023
класс5/06МПа
ГОСТ Р52 134 -2003
06:05:10
Материал
Торговая марка
Класс эксплуатации
Наружный диаметр толщина стенки
Номинальное давление при t=90°С
Дата выпуска"
plastic-2,plastic,printed,"(TYC)
CCC A201112 227 JEC 52(RV
was o 100s /008 And 8S 031 222 ZILLOZY DA1
TVE. 25AUG×40C 80°C
300V
Заниорас Водо SHIEN CROLE
3008
3004"
plastic-3,plastic,printed,"Классифицированный шифр
4212
класс 4
подкласс 4.1
СУЛЬФОУГОЛЬ
9471 21 6216 ТН ВОД 3824501 500
Дата изготовления
Масса нечто 30 £ 0,5 кг"
plastic-11,plastic,printed,"T3S System - Hot Fibre pipe PPRIPP-RCT/PPR-GF/PP-RCT SOR 7,4
T3S System - Hot Fibre pipe PPR/PP-RCT/PPR-GF/PP-RGT SOR 7,4
•
T35 System - Hot Fibre pipe PPRIPP-RCTIPPR-GF/PP-RCT SOR 7,4"
plastic-7,plastic,printed,"POROUS PRILL AMMONIUM NITRATE
Name: Ammonium Nitrate
UN No.
1942
OXIDIZING
AGENT
Hazchem:
1 Y
IN EMERGENCY DIAL
000,POLICE OR
24 HR EMERG. NO.
FIRE BRIGADE
1800 680 402
STORE IN SHADE COOL & DRY AWAY FROM SUNLIGHT
AAA
CN/370731/3600/1000"
plastic-6,plastic,printed,"НИЖНЕКАМСКНЕФТЕХИМ
NIZHNEKAMSKNEFTEKHIM
АБС-пластик
ABS
ТУ 2214-159-05766801-2011
TU 2214-159-05766801-2011
МАССА НЕТТО 25 кг
NET WEIGHT 25 kg
Изготовлено в России
Produced in Russia"
plastic-10,plastic,printed,JAKKO HOT & COLD WATER FFRO FIFE (TYFE-3) FN 20 5DR 7.4 2!
plastic-12,plastic,printed,"WEKF
УЗО
ЭЛЕКТРОМЕХАНИЧЕСКОЕ
ПРОВЕРЯТЬ ЕЖЕМЕСЯЧНО
4 - 25 / 30
In 25 AN
In 30 mA
415 B
6000
ГОСТ Р 51326.1-99
gECE"
plastic-4,plastic,printed,"EK
ВД1-63
25A
230 V - lan 30 mA
13000
SO Hz"
plastic-5,plastic,printed,"C16
230/4008-
ADIS
16A
230 B-
Lan 30 MA
50 m
0 !"
plastic-13,plastic,printed,"Гранитная крошко фракция 2,5-5 мм.
Фракционированный песок из отсевов дробления фр. 2,5-5 мм
ГОСТ 31424-2010
насыпная плотность
марка щебня по прочности (дробиности)
морозостойкость
аока по иотирас
1,45 тв/мз
M-1400
F-300"
